reply,label
"Can we discuss pricing??",NEUTRAL
"Im excited to explore this further, plz send contract",POSITIVE
"  We not looking for new solutions.  ",negative
"Could u clarify features included?",neutral
"lets,, schedule a meeting to dive deeper",positive
"Please remove me from list",NEGATIVE
"This looks promising, send specs!!",Positive
"Ill need to check w/ my team",Neutral
"Were alredy using similar product",negative
"Looking forward to demo!",POSITIVE
"Can you provide case study?",neutral
"Not good fit, thx.",negative
"Im intrsted, lets schdule discussion",positive
"Please send pricing breakdown",NEUTRAL
"Were happy w/ current provider.",Negative
"This could be game-changer, lets talk!",positive
"Can u confirm implementation timeline?",neutral
"No need 4 this in workflow",negative
"Id love to see live demo!",POSITIVE
"Could you share client testimonials",Neutral
"Were not intrested in vendors",negative
"lets set up call next week",positive
"Ill pass this to procurement team",neutral
"Plz stop contacting me.",NEGATIVE
"This sounds great, send details!",positive
"Can u explain integration?",neutral
"Not in market for this",negative
"Im eager to learn more, lets connect",POSITIVE
"Please send feature list",neutral
"Weve commited to another solution",Negative
"This looks exciting, can we schdule demo?",positive
"Ill need to review w/ boss",neutral
"Not relevant to our needs",negative
"Lets talk about scaling",POSITIVE
"Can u share demo video?",Neutral
"Were not looking to change providers",negative
"Im intrested, plz send proposal",positive
"Could u provide ROI data?",neutral
"This isnt priority.",NEGATIVE
"Excited to see how this works!",positive
"Plz clarify support options",neutral
"Doesnt align w/ goals",negative
"Lets schdule call to review features",POSITIVE
"Can you provide cost estimate",neutral
"Were not ready to explore",Negative
"This looks perfect, send contract!",positive
"Ill need more details for team",neutral
"Plz stop reaching out",NEGATIVE
"Im excited about potential!",positive
"Can u share comparison w/ competitors?",neutral
"Not intrested at this time",negative
"Lets discuss how this benefits us",POSITIVE
"Send user guide plz",neutral
"This isnt relevant to business",Negative
"Id love to explore further!",positive
"Can u confirm delivery timeline",neutral
"Were locked into contract",negative
"This sounds great oppurtunity!",POSITIVE
"Plz send pricing structure",neutral
"Not fit for our needs",Negative
"This could streamline process, lets talk",positive
"Can u provide trial account?",neutral
"No intrest in this product",NEGATIVE
"Im excited to see in action!",positive
"Plz share integration guide",neutral
"Were not looking to invest",negative
"Lets schdule product walkthrough",POSITIVE
"Can u clarify subscription model?",neutral
"Doesnt meet requirements",Negative
"Id love to discuss w/ your team!",positive
"Send sample report plz",neutral
"No need for this service",NEGATIVE
"This could help, send details!",positive
"Can u share setup process?",neutral
"Isnt priority right now",negative
"Lets set time to discuss",POSITIVE
"Plz send product roadmap",neutral
"Dont need this solution",Negative
"Im eager to see how works!",positive
"Can u provide pricing comparison?",neutral
"Not intrested, plz stop.",NEGATIVE
"This looks promising, schdule call",positive
"Send support plan details",neutral
"Not looking for new tools",negative
"Id love to learn more!",POSITIVE
"Can u share feature comparison?",neutral
"Doesnt fit strategy",Negative
"Lets arrange demo next week",positive
"Plz provide contract terms",neutral
"Not intrested in offer",NEGATIVE
"This could solve issue, lets discuss",positive
"Can u share onboarding process?",neutral
"Dont have budget for this",negative
"Im looking forward to presentation!",POSITIVE
"Clarify support options plz",neutral
"Not aligned w/ goals",Negative
"Lets schdule call to explore",positive
"Send feature list",neutral
"Were not pursuing this",NEGATIVE
"This could be great, send proposal!",positive
"Can u provide case study?",neutral
"No need in workflow",negative
"Im excited to review further!",POSITIVE
"Plz send technical documentation",neutral
"Not open to new vendors",Negative
"Lets discuss how integrates",positive
"Can u share API docs?",neutral
"Isnt relevant to team",NEGATIVE
"This sounds fantastic, lets call!",positive
"Send demo link plz",neutral
"Not in market for this",Negative
"Id love to see how works!",positive
"Can u send pricing tiers?",neutral
"Not fit for setup",NEGATIVE
"This could be perfect, send contract!",positive
"Plz share implementation guide",neutral
"Dont need this service",negative
"Im intrested, schdule demo!",POSITIVE
"Can u provide client reference?",neutral
"Isnt something we need",Negative
"Lets explore in meeting!",positive
"Send product specs plz",neutral
"Not open to solutions",NEGATIVE
"This looks great fit, send proposal!",positive
"Can u clarify licensing model?",neutral
"No intrest right now",negative
"Im excited, lets connect!",POSITIVE
"Plz provide cost breakdown",neutral
"Were happy w/ current tools",Negative
"This could enhance workflow, discuss!",positive
"Can u share demo video?",neutral
"Doesnt align w/ needs",NEGATIVE
"Lets schdule product overview",positive
"Send service agreement plz",neutral
"Not looking to change systems",Negative
"Id love to explore solution!",positive
"Can u provide trial link?",neutral
"Not relevant to ops",NEGATIVE
"This sounds great, lets talk!",positive
"Plz share feature roadmap",neutral
"Dont need this moment",Negative
"Im eager to see demo!",POSITIVE
"Can u send pricing guide?",neutral
"Isnt good fit for us",negative
"Lets discuss scaling!",positive
"Send integration details plz",neutral
"Not intrested in product",NEGATIVE
"This could be game-changer, connect!",positive
"Can u share API documentation?",neutral
"Not priority for us",Negative
"Id love to discuss further!",POSITIVE
"Plz send support terms",neutral
"Not open to new tools",negative
"This could streamline, lets talk!",positive
"Can u provide feature comparison?",neutral
"Dont see value in solution",NEGATIVE
"Im excited, schdule call!",positive
"Send cost estimate plz",neutral
"Not looking to invest",Negative
"This looks promising, lets demo!",POSITIVE
"Can u share client case study?",neutral
"Not pursuing right now",negative
"Lets set up product walkthrough!",positive
"Plz provide pricing structure",neutral
"Were not intrested",NEGATIVE
"Id love to see in action!",positive
"Can u send technical specs?",neutral
"Dont need this service",Negative
"This could help, send proposal!",POSITIVE
"Clarify subscription model plz",neutral
"Not fit for team",negative
"Lets discuss in meeting!",positive
"Send feature list plz",neutral
"Not intrested in offer",NEGATIVE
"Im excited to explore!",positive
"Can u provide demo link?",neutral
"Were not in market",negative
"This sounds great, schdule call!",POSITIVE
"Plz share support plan",neutral
"Doesnt meet needs",Negative
"Id love to learn more!",positive
"Can u send pricing tiers?",neutral
"Not relevant to goals",NEGATIVE
"This could be perfect, send details!",positive
"Send implementation guide plz",neutral
"No need for this",Negative
"Im eager to review!",POSITIVE
"Can u share cost breakdown?",neutral
"Were happy w/ provider",negative
"This could streamline, connect!",positive
"Plz provide feature comparison",neutral
